;       proxy    proxy     proxy     ESPquad   ESP       ESP       ESP       ESP       ESP       MEGS-P    MEGS-P    ESP       ESP       ESP       ESP       Lat   Lon      proxy  proxy
;---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
;END_OF_HEADER
2013 313 11 09
0122  8.02e-07  3.18e-08  8.33e-04  8.62e-04  8.88e-04  5.23e-04  9.31e-04  6.53e+00  4.92e+01  6.50e-03  3.94e+01  3.19e-01  1.78e-01  3.27e-01  1.77e-01 -16.4  -3.5  1.96e+03  1.23e-06
0123  7.99e-07  3.17e-08  8.33e-04  8.60e-04  8.89e-04  5.23e-04  9.31e-04  5.98e+00  4.92e+01  6.50e-03  3.94e+01  3.18e-01  1.77e-01  3.27e-01  1.77e-01 -16.3  -3.1  1.96e+03  1.23e-06
0124  7.92e-07  3.15e-08  8.34e-04  8.57e-04  8.89e-04  5.23e-04  9.31e-04  5.46e+00  4.92e+01  6.50e-03  3.93e+01  3.19e-01  1.77e-01  3.26e-01  1.78e-01 -16.2  -3.4  1.96e+03  1.23e-06
0125  7.86e-07  3.13e-08  8.33e-04  8.57e-04  8.89e-04  5.23e-04  9.31e-04  4.95e+00  4.92e+01  6.50e-03  3.93e+01  3.18e-01  1.78e-01  3.26e-01  1.78e-01 -16.1  -3.5  1.96e+03  1.22e-06
0126  7.86e-07  3.13e-08  8.33e-04  8.57e-04  8.89e-04  5.23e-04  9.30e-04  4.47e+00  4.92e+01  6.50e-03  3.93e+01  3.18e-01  1.77e-01  3.27e-01  1.78e-01 -16.2  -2.8  1.96e+03  1.22e-06
0127  7.73e-07  3.08e-08  8.33e-04  8.54e-04  8.89e-04  5.23e-04  9.30e-04  4.01e+00  4.92e+01  6.50e-03  3.93e+01  3.17e-01  1.78e-01  3.27e-01  1.77e-01 -16.2  -3.1  1.96e+03  1.21e-06
0128  7.53e-07  3.00e-08  8.32e-04  8.50e-04  8.89e-04  5.23e-04  9.29e-04  3.57e+00  4.93e+01  6.49e-03  3.93e+01  3.17e-01  1.78e-01  3.27e-01  1.78e-01 -16.0  -3.0  1.96e+03  1.20e-06
0129  7.60e-07  3.04e-08  8.31e-04  8.52e-04  8.89e-04  5.23e-04  9.28e-04  3.16e+00  4.93e+01  6.49e-03  3.93e+01  3.17e-01  1.79e-01  3.27e-01  1.77e-01 -16.0  -3.2  1.96e+03  1.20e-06
0130  7.63e-07  3.05e-08  8.31e-04  8.53e-04  8.89e-04  5.23e-04  9.28e-04  2.78e+00  4.94e+01  6.49e-03  3.93e+01  3.16e-01  1.79e-01  3.27e-01  1.78e-01 -15.9  -2.7  1.97e+03  1.21e-06
0131  7.58e-07  3.03e-08  8.31e-04  8.51e-04  8.89e-04  5.23e-04  9.28e-04  2.42e+00  4.94e+01  6.49e-03  3.94e+01  3.15e-01  1.78e-01  3.29e-01  1.79e-01 -16.1  -1.7  1.97e+03  1.20e-06
