time,6-12 keV,12-25 keV,25-50 keV,50-100 keV,100-300 keV,300-800 keV
09/11/13 05:22,23.974,120.359,156.32,127.943,147.269,51.8621
09/11/13 05:22,18.3456,113.987,149.945,125.239,138.203,39.1373
09/11/13 05:22,19.3251,111.792,163.896,120.843,143.593,48.6796
09/11/13 05:23,22.9948,110.326,157.294,133.81,138.458,44.5219
09/11/13 05:23,20.0587,115.704,162.426,124.755,134.051,45.0097
09/11/13 05:23,22.9963,108.376,157.549,128.681,139.69,48.439
09/11/13 05:23,20.3035,111.792,156.068,125.735,137.232,44.2764
09/11/13 05:23,20.547,111.541,154.347,119.369,143.829,51.6122
09/11/13 05:23,25.196,119.864,153.867,138.456,131.851,43.5426
09/11/13 05:23,24.4642,114.003,162.932,137.489,144.094,48.4391
09/11/13 05:23,18.8351,110.32,155.817,127.687,135.27,43.5408
09/11/13 05:23,19.324,106.16,140.16,133.066,133.311,48.4322
09/11/13 05:23,20.5485,107.39,153.135,128.917,150.199,52.105
09/11/13 05:23,18.5909,115.948,151.418,122.308,140.655,44.2757
09/11/13 05:23,22.9935,109.83,144.565,135.515,139.184,45.0085
09/11/13 05:23,21.7701,108.362,152.146,132.333,141.139,46.4756
09/11/13 05:23,22.5064,107.15,159.012,130.146,140.42,50.1501
09/11/13 05:23,15.6545,105.423,156.3,136.732,137.221,43.539
09/11/13 05:24,20.5461,105.176,152.383,123.276,142.844,49.653
09/11/13 05:24,20.0579,112.031,156.06,121.815,137.959,40.3604
09/11/13 05:24,19.8171,111.318,158.047,141.656,145.081,50.6437
09/11/13 05:24,22.2587,105.179,145.782,125.236,136.977,45.7404
09/11/13 05:24,23.9728,113.259,147.995,129.16,139.678,42.8086
09/11/13 05:24,27.1522,108.853,146.769,124.02,130.869,45.7429
09/11/13 05:24,22.7497,112.525,160.226,113.748,142.124,45.7439
09/11/13 05:24,21.7701,102.001,143.34,126.707,145.542,41.0941
09/11/13 05:24,19.5699,115.463,152.89,133.076,135.522,44.0324
09/11/13 05:24,22.9942,103.718,140.167,130.627,140.411,38.1606
09/11/13 05:24,19.8129,106.158,160.705,125.727,141.381,43.5396
09/11/13 05:24,17.611,109.09,146.269,119.119,137.219,44.7613
09/11/13 05:24,22.2591,104.936,151.9,127.44,138.692,46.4751
09/11/13 05:24,20.0572,101.509,145.293,132.573,137.221,40.1145
09/11/13 05:25,21.5242,93.4345,149.691,130.613,143.821,46.4727
09/11/13 05:25,21.0366,111.054,153.372,116.191,139.184,47.9439
09/11/13 05:25,22.7509,112.287,151.673,140.664,154.363,48.682
09/11/13 05:25,23.4822,101.756,138.447,124.994,143.339,46.4753
09/11/13 05:25,22.7484,99.5547,150.433,130.13,145.296,49.4104
09/11/13 05:25,19.3244,109.097,151.904,133.803,139.674,47.2102
